预警类型,影响区域,前次预警级别,当前预警级别,时间间隔(天),月份,季节,当前预警时间,前次预警时间,是否工作日,历史平均间隔,过去30天预警次数
暴雨,"清水河,南山区,福田区",黄色,黄色,64,7,夏季,2025-07-10 17:10:00,2025-05-07 06:55:00,1,24.864406779661017,0
暴雨,盐田区,黄色,橙色,49,9,秋季,2025-09-21 02:26:00,2025-08-03 00:18:00,0,24.864406779661017,0
暴雨,"盐田区,坪山区,大鹏新区",黄色,黄色,25,7,夏季,2025-07-09 22:02:00,2025-06-14 01:02:00,1,24.864406779661017,1
暴雨,"盐田区,坪山区,大鹏新区",黄色,黄色,71,9,秋季,2025-09-19 11:45:00,2025-07-09 22:02:00,1,25.0,0
暴雨,"盐田区,横岗,龙岗",黄色,黄色,2,7,夏季,2025-07-25 18:32:00,2025-07-23 04:35:00,1,24.864406779661017,1
暴雨,"盐田区,横岗,龙岗",黄色,黄色,3,7,夏季,2025-07-28 20:28:00,2025-07-25 18:32:00,1,2.0,2
暴雨,"盐田区,横岗,龙岗",黄色,黄色,20,8,夏季,2025-08-18 05:55:00,2025-07-28 20:28:00,1,2.5,3
暴雨,"盐田区,横岗,龙岗",黄色,黄色,20,9,秋季,2025-09-07 15:45:00,2025-08-18 05:55:00,0,8.333333333333334,1
暴雨,"罗湖区,南山区,福田区",黄色,黄色,3,6,夏季,2025-06-16 20:05:00,2025-06-12 21:00:00,1,24.864406779661017,1
暴雨,"罗湖区,南山区,福田区",黄色,黄色,14,7,夏季,2025-07-01 00:15:00,2025-06-16 20:05:00,1,3.0,2
暴雨,"罗湖区,南山区,福田区",黄色,黄色,8,7,夏季,2025-07-09 21:20:00,2025-07-01 00:15:00,1,8.5,3
暴雨,"罗湖区,南山区,福田区",橙色,黄色,12,7,夏季,2025-07-22 21:14:00,2025-07-10 14:00:00,1,8.333333333333334,5
暴雨,"罗湖区,南山区,福田区",黄色,黄色,5,7,夏季,2025-07-28 14:00:00,2025-07-22 21:14:00,1,9.25,6
暴雨,"罗湖区,南山区,福田区",黄色,黄色,2,7,夏季,2025-07-31 02:50:00,2025-07-28 19:52:00,1,8.4,7
暴雨,"罗湖区,南山区,福田区",黄色,黄色,4,8,夏季,2025-08-04 11:04:00,2025-07-31 10:00:00,1,7.333333333333333,9
